,train,val,test
249,slide_92,,
250,slide_94,,
251,slide_95,,
252,slide_96,,
253,slide_98,,
254,slide_99,,
255,slide_100,,
256,slide_106,,
257,slide_107,,
258,slide_108,,
259,slide_0,,
260,slide_1,,
261,slide_2,,
262,slide_111,,
263,slide_115,,
264,slide_125,,
265,slide_15,,
266,slide_129,,
267,slide_131,,
268,slide_140,,
269,slide_147,,
270,slide_148,,
271,slide_149,,
272,slide_158,,
273,slide_159,,
274,slide_18,,
275,slide_19,,
276,slide_163,,
277,slide_181,,
278,slide_182,,
279,slide_187,,
280,slide_188,,
281,slide_189,,
282,slide_190,,
283,slide_191,,
284,slide_192,,
285,slide_193,,
286,slide_22,,
287,slide_195,,
288,slide_196,,
289,slide_198,,
290,slide_23,,
291,slide_215,,
292,slide_216,,
293,slide_24,,
294,slide_219,,
295,slide_220,,
296,slide_238,,
297,slide_245,,
298,slide_246,,
299,slide_255,,
300,slide_258,,
301,slide_262,,
302,slide_263,,
303,slide_264,,
304,slide_265,,
305,slide_266,,
306,slide_269,,
307,slide_273,,
308,slide_30,,
309,slide_278,,
310,slide_279,,
311,slide_281,,
312,slide_282,,
313,slide_283,,
314,slide_31,,
315,slide_290,,
316,slide_291,,
317,slide_295,,
318,slide_32,,
319,slide_299,,
320,slide_302,,
321,slide_303,,
322,slide_304,,
323,slide_306,,
324,slide_33,,
325,slide_309,,
326,slide_310,,
327,slide_311,,
328,slide_321,,
329,slide_325,,
330,slide_326,,
331,slide_338,,
332,slide_339,,
333,slide_36,,
334,slide_342,,
335,slide_343,,
336,slide_344,,
337,slide_345,,
338,slide_351,,
339,slide_37,,
340,slide_355,,
341,slide_357,,
342,slide_361,,
343,slide_362,,
344,slide_38,,
345,slide_363,,
346,slide_364,,
347,slide_375,,
348,slide_381,,
349,slide_389,,
350,slide_391,,
351,slide_392,,
352,slide_41,,
353,slide_399,,
354,slide_407,,
355,slide_408,,
356,slide_412,,
357,slide_418,,
358,slide_43,,
359,slide_422,,
360,slide_428,,
361,slide_429,,
362,slide_437,,
363,slide_438,,
364,slide_440,,
365,slide_441,,
366,slide_444,,
367,slide_447,,
368,slide_449,,
369,slide_450,,
370,slide_451,,
371,slide_457,,
372,slide_458,,
373,slide_460,,
374,slide_475,,
375,slide_477,,
376,slide_481,,
377,slide_482,,
378,slide_484,,
379,slide_487,,
380,slide_488,,
381,slide_493,,
382,slide_7,,
383,slide_57,,
384,slide_63,,
385,slide_73,,
386,slide_76,,
387,slide_9,,
388,slide_10,,
389,slide_80,,
390,slide_83,,
391,slide_85,,
392,slide_86,,
393,slide_93,,
394,slide_97,,
395,slide_101,,
396,slide_102,,
397,slide_103,,
398,slide_104,,
